105/05/18,10000,9400,0.94,0.94,0.94,0.94,-0.07,1
105/05/19,319000,276850,0.91,0.91,0.85,0.85,-0.09,6
105/05/20,100000,81960,0.81,0.84,0.81,0.84,-0.01,2
105/05/23,110000,101800,0.88,0.93,0.88,0.93,+0.09,2
105/05/24,115000,114700,1.00,1.00,0.98,0.98,+0.05,2
105/05/25,131000,137760,1.05,1.07,1.03,1.07,+0.09,4
105/05/26,711000,749230,1.02,1.07,1.01,1.06,-0.01,17
105/05/27,693000,708940,1.04,1.04,1.01,1.03,-0.03,7
105/05/30,0,0,---,---,---,---,---,0
105/05/31,18000,17100,0.95,0.95,0.95,0.95,-0.05,1
105/06/01,0,0,---,---,---,---,---,0
105/06/02,65000,55250,0.85,0.85,0.85,0.85,-0.09,1
105/06/03,169000,127130,0.74,0.77,0.74,0.77,-0.08,3
105/06/04,69000,52440,0.76,0.76,0.76,0.76,-0.01,1
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,285000,269110,0.90,1.00,0.90,1.00,+0.25,11
105/06/13,902000,962570,0.98,1.14,0.95,1.11,+0.11,28
105/06/14,1376000,1622540,1.14,1.24,1.12,1.17,+0.06,48
105/06/15,1295000,1698680,1.26,1.36,1.24,1.29,+0.12,59
105/06/16,1604000,2023560,1.30,1.34,1.20,1.27,-0.02,76
105/06/17,1299000,1756680,1.32,1.47,1.28,1.39,+0.12,58
105/06/20,1787000,3012240,1.64,1.73,1.59,1.70,+0.31,85
105/06/21,1422000,2539910,1.85,1.86,1.70,1.76,+0.06,103
105/06/22,1211000,2275990,1.72,2.05,1.70,1.95,+0.19,56
105/06/23,1323000,3001920,1.97,2.47,1.97,2.39,+0.44,108
105/06/24,953000,2127770,2.46,2.53,2.06,2.09,-0.30,43
105/06/27,642000,1552940,2.23,2.75,2.19,2.75,+0.66,29
105/06/28,373000,998560,2.77,2.79,2.59,2.77,+0.02,35
105/06/29,587000,1395980,2.54,2.57,2.27,2.30,-0.47,28
105/06/30,63000,151020,2.45,2.48,2.24,2.30,0.00,9
105/07/01,103000,245080,2.32,2.56,2.18,2.18,-0.12,7
105/07/04,395000,984630,2.18,2.84,2.18,2.84,+0.66,20
105/07/05,276000,667960,2.59,2.59,2.28,2.33,-0.51,40
105/07/06,130000,255500,1.90,2.02,1.90,1.95,-0.38,9
105/07/07,130000,256550,2.12,2.15,1.88,1.93,-0.02,10
105/07/11,170000,372560,2.15,2.29,2.15,2.28,+0.35,5
105/07/12,105000,235920,2.31,2.31,2.16,2.25,-0.03,38
105/07/13,85000,173090,2.10,2.10,2.01,2.09,-0.16,9
105/07/14,130000,294370,2.20,2.35,2.20,2.23,+0.14,5
105/07/15,51000,120650,2.37,2.37,2.35,2.35,+0.12,2
105/07/18,194000,455770,2.23,2.47,2.23,2.42,+0.07,5
105/07/19,196000,467220,2.54,2.54,2.22,2.29,-0.13,51
105/07/20,66000,149780,2.30,2.30,2.22,2.22,-0.07,5
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
