105/02/18,559000,629520,1.10,1.17,1.10,1.17,+0.22,40
105/05/13,15000,2650,0.17,0.19,0.17,0.19,-0.01,2
105/05/16,8000,1570,0.19,0.20,0.19,0.20,+0.01,2
105/05/17,26000,5510,0.21,0.22,0.21,0.22,+0.02,2
105/05/18,27000,5190,0.19,0.20,0.19,0.20,-0.02,2
105/05/19,25000,5300,0.21,0.22,0.20,0.20,0.00,4
105/05/20,40000,6700,0.17,0.17,0.16,0.16,-0.04,4
105/05/23,49000,9530,0.18,0.22,0.18,0.22,+0.06,8
105/05/24,14000,2890,0.21,0.21,0.20,0.20,-0.02,3
105/05/25,32000,6860,0.22,0.22,0.21,0.22,+0.02,4
105/05/26,22000,4740,0.22,0.22,0.21,0.21,-0.01,3
105/05/27,108000,27590,0.23,0.26,0.23,0.25,+0.04,13
105/05/30,365000,92230,0.24,0.27,0.23,0.26,+0.01,10
105/05/31,212000,63550,0.29,0.31,0.29,0.30,+0.04,11
105/06/01,61000,17370,0.28,0.29,0.28,0.29,-0.01,4
105/06/02,9000,2430,0.27,0.27,0.27,0.27,-0.02,1
105/06/03,36000,8550,0.24,0.25,0.23,0.25,-0.02,3
105/06/04,22000,5950,0.27,0.28,0.27,0.27,+0.02,3
105/06/06,190000,48200,0.27,0.27,0.25,0.25,-0.02,7
105/06/07,52000,13000,0.25,0.25,0.25,0.25,0.00,2
105/06/08,20000,4700,0.24,0.24,0.23,0.23,-0.02,2
105/06/13,38000,7280,0.18,0.20,0.18,0.20,-0.03,2
105/06/14,121000,28640,0.22,0.26,0.22,0.25,+0.05,9
105/06/15,104000,27210,0.26,0.27,0.26,0.27,+0.02,2
105/06/16,17000,4080,0.24,0.24,0.24,0.24,-0.03,1
105/06/17,5000,1200,0.24,0.24,0.24,0.24,0.00,1
105/06/20,182000,45260,0.24,0.26,0.24,0.26,+0.02,7
105/06/21,2320000,579350,0.25,0.25,0.24,0.25,-0.01,24
105/06/22,549000,124910,0.23,0.23,0.22,0.23,-0.02,5
105/06/23,1983000,414330,0.21,0.21,0.19,0.20,-0.03,10
105/06/24,101000,17190,0.18,0.19,0.14,0.14,-0.06,7
105/06/27,8000,1240,0.15,0.17,0.15,0.17,+0.03,3
105/06/28,44000,7080,0.18,0.18,0.16,0.18,+0.01,3
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,46000,6900,0.15,0.15,0.15,0.15,-0.01,1
105/07/05,48000,7220,0.16,0.16,0.15,0.15,0.00,2
105/07/06,0,0,---,---,---,---,---,0
105/07/07,5000,650,0.13,0.13,0.13,0.13,0.00,1
105/07/11,5000,600,0.12,0.12,0.12,0.12,-0.01,1
105/07/12,90000,9900,0.11,0.11,0.11,0.11,-0.01,3
105/07/13,5000,550,0.11,0.11,0.11,0.11,0.00,1
105/07/14,15000,1600,0.10,0.11,0.10,0.11,0.00,3
105/07/15,261000,31380,0.11,0.13,0.11,0.13,+0.02,10
105/07/18,0,0,---,---,---,---,---,0
105/07/19,110000,12210,0.11,0.12,0.11,0.12,0.00,4
105/07/20,20000,2100,0.11,0.11,0.10,0.10,-0.02,3
105/07/21,0,0,---,---,---,---,---,0
105/07/22,82000,8210,0.10,0.11,0.10,0.10,0.00,3
105/07/25,0,0,---,---,---,---,---,0
105/07/26,110000,9900,0.09,0.09,0.09,0.09,0.00,5
105/07/27,131000,13000,0.10,0.10,0.09,0.09,0.00,4
105/07/28,0,0,---,---,---,---,---,0
105/07/29,135000,9850,0.08,0.08,0.07,0.07,-0.01,7
105/08/01,30000,2950,0.09,0.11,0.09,0.10,+0.03,5
105/08/02,26000,2870,0.12,0.12,0.11,0.11,+0.01,2
105/08/03,30000,3000,0.10,0.10,0.10,0.10,-0.01,2
105/08/04,130000,13950,0.11,0.12,0.10,0.11,+0.01,7
105/08/05,166000,13890,0.10,0.10,0.08,0.09,-0.02,10
105/08/08,79000,6910,0.09,0.09,0.08,0.08,-0.01,4
105/08/09,811000,48970,0.06,0.07,0.06,0.07,-0.01,7
105/08/10,141000,7060,0.05,0.06,0.05,0.05,-0.02,6
105/08/11,30000,1300,0.05,0.05,0.04,0.04,-0.01,2
105/08/12,50000,1500,0.03,0.03,0.03,0.03,-0.01,1
105/08/15,0,0,---,---,---,---,---,0
105/08/16,2000,100,0.05,0.05,0.05,0.05,+0.02,1
105/08/17,0,0,---,---,---,---,---,0
105/08/18,0,0,---,---,---,---,---,0
105/08/19,0,0,---,---,---,---,---,0
105/08/22,0,0,---,---,---,---,---,0
105/08/23,0,0,---,---,---,---,---,0
105/08/24,0,0,---,---,---,---,---,0
105/08/25,1000,50,0.05,0.05,0.05,0.05,+0.01,1
